number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.3336385190486908,2026-05-04 20:44:41.542122,2026-05-04 20:44:54.418274,0 days 00:00:12.876152,0.0038570588529008745,COMPLETE
1,0.335456520318985,2026-05-04 20:44:54.418274,2026-05-04 20:45:07.736319,0 days 00:00:13.318045,0.004690465878047654,COMPLETE
2,0.40668293833732605,2026-05-04 20:45:07.736319,2026-05-04 20:45:20.900402,0 days 00:00:13.164083,0.006787563515965096,COMPLETE
3,0.37445637583732605,2026-05-04 20:45:20.900402,2026-05-04 20:45:34.337059,0 days 00:00:13.436657,0.008687669389999004,COMPLETE
4,0.4369775056838989,2026-05-04 20:45:34.337059,2026-05-04 20:45:47.056240,0 days 00:00:12.719181,0.0004154020850439856,COMPLETE
